"PartitionKey","Time","Duration","Distance"
"HomeToMicrosoft","11/2/2014 7:30:05 PM","807","5.382317"
"HomeToMicrosoft","11/2/2014 8:00:05 PM","807","5.382317"
"HomeToMicrosoft","11/2/2014 8:30:07 PM","808","5.382317"
"HomeToMicrosoft","11/2/2014 9:00:06 PM","804","5.382317"
"HomeToMicrosoft","11/2/2014 9:30:05 PM","805","5.382317"
"HomeToMicrosoft","11/2/2014 10:00:07 PM","805","5.382317"
"HomeToMicrosoft","11/2/2014 10:30:06 PM","806","5.382317"
"HomeToMicrosoft","11/2/2014 11:00:06 PM","805","5.382317"
"HomeToMicrosoft","11/2/2014 11:30:07 PM","806","5.382317"
"HomeToMicrosoft","11/3/2014 12:00:06 AM","802","5.382317"
"HomeToMicrosoft","11/3/2014 12:30:06 AM","812","5.382317"
"HomeToMicrosoft","11/3/2014 1:00:06 AM","855","5.382317"
"HomeToMicrosoft","11/3/2014 1:30:06 AM","866","5.382317"
"HomeToMicrosoft","11/3/2014 2:00:06 AM","897","5.382317"
"HomeToMicrosoft","11/3/2014 2:30:07 AM","818","5.382317"
"HomeToMicrosoft","11/3/2014 3:00:07 AM","805","5.382317"
"HomeToMicrosoft","11/3/2014 3:30:06 AM","798","5.382317"
"HomeToMicrosoft","11/3/2014 4:00:06 AM","812","5.382317"
"HomeToMicrosoft","11/3/2014 4:30:05 AM","798","5.382317"
"HomeToMicrosoft","11/3/2014 5:00:06 AM","794","5.382317"
"HomeToMicrosoft","11/3/2014 5:30:06 AM","794","5.382317"
"HomeToMicrosoft","11/3/2014 6:00:06 AM","794","5.382317"
"HomeToMicrosoft","11/3/2014 6:30:05 AM","792","5.382317"
"HomeToMicrosoft","11/3/2014 7:00:05 AM","791","5.382317"
"HomeToMicrosoft","11/3/2014 7:30:37 AM","685","5.382317"
"HomeToMicrosoft","11/3/2014 8:00:07 AM","672","5.382317"
"HomeToMicrosoft","11/3/2014 8:30:05 AM","669","5.382317"
"HomeToMicrosoft","11/3/2014 9:00:06 AM","674","5.382317"
"HomeToMicrosoft","11/3/2014 9:30:05 AM","673","5.382317"
"HomeToMicrosoft","11/3/2014 10:00:06 AM","673","5.382317"
"HomeToMicrosoft","11/3/2014 10:30:06 AM","673","5.382317"
"HomeToMicrosoft","11/3/2014 11:00:08 AM","673","5.382317"
"HomeToMicrosoft","11/3/2014 11:30:06 AM","673","5.382317"
"HomeToMicrosoft","11/3/2014 12:00:06 PM","674","5.382317"
"HomeToMicrosoft","11/3/2014 12:30:06 PM","674","5.382317"
"HomeToMicrosoft","11/3/2014 1:00:06 PM","675","5.382317"
"HomeToMicrosoft","11/3/2014 1:30:07 PM","688","5.382317"
"HomeToMicrosoft","11/3/2014 2:00:09 PM","725","5.382317"
"HomeToMicrosoft","11/3/2014 2:30:06 PM","802","5.382317"
"HomeToMicrosoft","11/3/2014 3:00:05 PM","856","5.382317"
"HomeToMicrosoft","11/3/2014 3:30:07 PM","946","5.382317"
"HomeToMicrosoft","11/3/2014 4:00:05 PM","1014","5.382317"
"HomeToMicrosoft","11/3/2014 4:30:05 PM","1170","5.382317"
"HomeToMicrosoft","11/3/2014 5:00:06 PM","1238","5.382317"
"HomeToMicrosoft","11/3/2014 5:30:06 PM","1167","5.382317"
"HomeToMicrosoft","11/3/2014 6:00:06 PM","1024","5.382317"
"HomeToMicrosoft","11/3/2014 6:30:06 PM","874","5.382317"
"HomeToMicrosoft","11/3/2014 7:00:06 PM","883","5.382317"
"HomeToMicrosoft","11/3/2014 7:30:06 PM","891","5.382317"
"HomeToMicrosoft","11/3/2014 8:00:06 PM","850","5.382317"
"HomeToMicrosoft","11/3/2014 8:30:07 PM","827","5.382317"
"HomeToMicrosoft","11/3/2014 9:00:07 PM","867","5.382317"
"HomeToMicrosoft","11/3/2014 9:30:06 PM","862","5.382317"
"HomeToMicrosoft","11/3/2014 10:00:06 PM","843","5.382317"
"HomeToMicrosoft","11/3/2014 10:30:06 PM","845","5.382317"
"HomeToMicrosoft","11/3/2014 11:00:06 PM","839","5.382317"
"HomeToMicrosoft","11/3/2014 11:30:05 PM","842","5.382317"
"HomeToMicrosoft","11/4/2014 12:00:05 AM","850","5.382317"
"HomeToMicrosoft","11/4/2014 12:30:05 AM","850","5.382317"
"HomeToMicrosoft","11/4/2014 1:00:07 AM","866","5.382317"
"HomeToMicrosoft","11/4/2014 1:30:06 AM","892","5.382317"
"HomeToMicrosoft","11/4/2014 2:00:07 AM","863","5.382317"
"HomeToMicrosoft","11/4/2014 2:30:06 AM","882","5.382317"
"HomeToMicrosoft","11/4/2014 3:00:05 AM","833","5.382317"
"HomeToMicrosoft","11/4/2014 3:30:06 AM","839","5.382317"
"HomeToMicrosoft","11/4/2014 4:00:05 AM","830","5.382317"
"HomeToMicrosoft","11/4/2014 4:30:06 AM","809","5.382317"
"HomeToMicrosoft","11/4/2014 5:00:07 AM","807","5.382317"
"HomeToMicrosoft","11/4/2014 5:30:06 AM","811","5.382317"
"HomeToMicrosoft","11/4/2014 6:00:05 AM","803","5.382317"
"HomeToMicrosoft","11/4/2014 6:30:05 AM","797","5.382317"
"HomeToMicrosoft","11/4/2014 7:00:06 AM","796","5.382317"
"HomeToMicrosoft","11/4/2014 7:30:05 AM","680","5.382317"
"HomeToMicrosoft","11/4/2014 8:00:05 AM","673","5.382317"
"HomeToMicrosoft","11/4/2014 8:30:05 AM","688","5.382317"
"HomeToMicrosoft","11/4/2014 9:00:06 AM","674","5.382317"
"HomeToMicrosoft","11/4/2014 9:30:05 AM","672","5.382317"
"HomeToMicrosoft","11/4/2014 10:00:05 AM","671","5.382317"
"HomeToMicrosoft","11/4/2014 10:30:06 AM","672","5.382317"
"HomeToMicrosoft","11/4/2014 11:00:06 AM","672","5.382317"
"HomeToMicrosoft","11/4/2014 11:30:06 AM","677","5.382317"
"HomeToMicrosoft","11/4/2014 12:00:07 PM","674","5.382317"
"HomeToMicrosoft","11/4/2014 12:30:06 PM","672","5.382317"
"HomeToMicrosoft","11/4/2014 1:00:06 PM","684","5.382317"
"HomeToMicrosoft","11/4/2014 1:30:06 PM","695","5.382317"
"HomeToMicrosoft","11/4/2014 2:00:07 PM","735","5.382317"
"HomeToMicrosoft","11/4/2014 2:30:06 PM","805","5.382317"
"HomeToMicrosoft","11/4/2014 3:00:06 PM","871","5.382317"
"HomeToMicrosoft","11/4/2014 3:30:06 PM","955","5.382317"
"HomeToMicrosoft","11/4/2014 4:00:05 PM","1067","5.382317"
